 300
   22 11917     1
   38 11255     9
   48 11951     8
   81 11861     1
   47 10999     1
   76 11503     9
   42 12203     6
   40 12465    10
   19 10567     3
   91 13063     5
   19 11889     1
   27 12530     3
   47 12358     8
   90 10565     7
   32 12628     9
   39 12660     7
   76 10724     4
   54 12148     5
   14 13278    10
   25 13193     2
   44 12548     6
    7 12412     1
   86 12841     3
   14 12698     1
   39 13258     9
   36 11578     8
   36 10630     9
   78 12788     9
   95 12438     4
   76 10587     3
   73 10788     4
   17 10874     4
   13 11357     2
   21 12254     1
   98 12251     5
   59 11872     3
   96 13272    10
   39 10972    10
   99 10856     3
   15 13355     2
   29 10553     5
   18 12260     3
   42 12403     4
   76 12427     2
    7 12341     9
   74 11550     3
   15 11605     8
   83 12580     3
   27 13213     7
   28 11401     8
    8 12292     4
   71 12280     2
   35 13329     8
   94 11652     6
   84 11497     3
   73 13105     7
   29 12746     4
   20 11643     2
   51 12411     6
   24 11703     8
   96 11745     4
   23 12715     9
   41 12092     1
    8 12618     6
   43 11487     9
   38 10861     6
   67 11008     8
   39 11278     8
   77 11349     5
   66 11380    10
   53 11151    10
    6 11417    10
   83 13155     3
   95 13070     4
   81 13359     2
   90 12014     2
   68 11138     6
   95 11483    10
   73 11113     4
   94 10870     3
   23 12400     7
   80 12921     8
   65 12665     5
   57 12247     5
   73 11091     4
   49 10680     8
   29 11870     1
    2 13352     8
   69 11838     9
   79 10800     6
   26 11573     5
   64 13099     3
    2 13030     4
   66 13181     6
   71 12235     9
   44 11036     3
    4 10560     1
   38 12759     6
   82 11830     1
   80 11424     6
    3 10657     6
   35 12496    10
   86 12357     6
   86 13328     9
   29 12085     3
   66 12235     7
   75 11860    10
   97 12739     9
   61 13233     6
   47 12489     4
   90 13124     2
   83 12151     3
   27 11928     1
   55 12307     6
   39 10916     7
   99 12534     4
    3 12503     4
   68 12302     7
    1 12405     2
   71 10859     3
   46 12617     3
   26 10497     6
   34 13474     6
   47 12165     7
   92 13193     2
    5 12227     4
   91 12716     9
   95 13269     2
   43 11504    10
   73 11064    10
   75 11212     8
   45 11677     5
    8 13076     9
   60 13084     3
   30 11523     4
   36 11680     2
   26 11837     9
    5 12899     3
   32 10937    10
   87 11588     5
   51 11906     7
   22 10579     1
   69 13255     7
   77 13350     7
   76 12401     7
    8 10689     4
   76 12402     1
   79 11422     1
   75 12506     1
   77 11326     2
   49 11797     3
   20 11641     3
    2 11338     8
   83 11789     8
   67 13322    10
   93 11049     9
   88 10535     1
   57 12556     9
   88 10836     1
   30 11554     1
   29 13136     8
   63 11563     8
   74 12746     6
   36 12731     7
   23 11166     1
    4 10788     9
   72 10929     8
   48 12518    10
    8 13202     2
    4 11381     7
   34 10625     4
   59 11626     8
   26 11475     8
    3 13396     1
   36 11494     4
    2 13392     4
   10 10604     5
   11 13412     5
   80 11333     5
   84 12626     5
   87 11256     7
   29 12646     7
    4 10786     8
   89 12110     4
   12 10953     5
   70 10626     7
   82 12674     3
   99 11003     6
   27 12698     6
   69 13026     3
   28 12073     6
   56 12352     3
   32 11108     1
    2 11338     1
   92 11602     9
   54 11789     1
    6 11641     9
   63 12046     6
    2 10826     1
   14 11361    10
   67 12942     3
   36 10967     5
   73 12503     8
   93 10936    10
   38 10881     6
    8 10516     1
   94 10846     4
   48 11000    10
   18 13443     6
   74 11695     8
   31 13141     4
    5 11218     2
    3 10859     5
   35 13442     1
   94 12843     5
   15 11328    10
    5 10587     8
   75 12036     8
   14 11847     5
   31 12800     3
   44 11581    10
   42 13435     1
   86 11671     6
   75 12204     1
   43 11292     2
   77 12788     4
   28 10512     2
   49 12449     1
   40 11352    10
   29 10853     2
   63 13326    10
    7 10813     2
   64 11336     6
   35 12347     8
   99 11265     2
    2 11733     2
   42 12379     8
   93 11627     5
   49 12249     1
   60 12340     3
   67 12837     3
   80 11909     4
   65 13073     5
   70 13211     8
   14 11870     5
   58 12435    10
   84 11057     7
   18 11972     3
   32 10990     7
   97 12419     2
   48 11291     5
   76 12086     7
   38 12373     3
   34 12477    10
   50 10809     7
   81 13181     4
   11 11783     4
   78 10836     8
   30 12148     4
   51 12651     3
    6 11205    10
   92 11993     4
   58 12979     5
   70 12056     6
   26 10859     1
   57 10763     6
   71 13305     7
   68 12753     9
   49 11905     1
   20 12072     7
   28 11611     2
   16 11260     4
   99 10499     1
   92 11203     6
   86 10989     1
   12 11884     6
   49 13154     5
   69 11562     8
   29 13372     8
   81 10662     1
   66 10500    10
   77 11181     2
   56 12264     7
    4 12389     2
   11 13173     2
    6 12588     4
   84 12088     5
   21 11475     5
   83 12939     2
   14 10755     9
   72 10644     7
   89 10662     1
    6 12263     2
   29 13139     1
   58 12234     7
   31 12637     2
   85 13417     7
   29 12058     3
   99 11908    10
   34 11840     7
